"s1","s2","c1","d1","d2","d5","e1","e4","g1","g2","g6_01","g6_02","k2","k1","comp_i","w2r_i","tr_inst_i","risk_i","col_i","reg_i","sci_i","med_i"
0,34,1,9,0,6,4,6,2,0,0,0,5,1,8.25,10,8,2,6.5,6.5,8.33333333333333,1.33333333333333
1,50,1,5,0,3,3,6,6,1,1,0,2,0,9.5,7.5,6,2,4,7,6,9
0,53,1,10,0,2,2,7,7,0,1,1,3,0,10,9,7.5,1.5,5.5,7.5,10,3.66666666666667
0,54,1,10,0,1,2,10,2,0,1,1,0,0,10,10,5,2,8.5,8,8,4.66666666666667
1,37,1,4,0,7,6,3,4,0,1,1,6,0,7.75,6.5,5.5,0.5,3.5,7.5,8,10
1,50,1,9,0,8,6,6,4,1,0,1,2,0,8.75,7,8.5,1.5,7.5,6,3.33333333333333,4.66666666666667
0,58,0,5,1,0,0,5,5,1,0,0,5,0,10,10,4,1,8.5,1.5,10,6.66666666666667
0,32,0,9,1,9,4,8,8,0,1,1,5,1,10,10,8,1,8,8.5,8.33333333333333,6
1,47,0,10,0,2,8,8,8,1,0,0,0,0,10,7.5,2,1,3,10,5,7
0,66,0,9,0,2,7,8,8,0,1,0,1,0,10,10,6,2,8,7.5,7.66666666666667,3.66666666666667
1,62,1,8,0,1,5,8,5,1,1,1,4,0,10,9,4,2.5,8,1.5,8.33333333333333,7.66666666666667
0,63,0,5,1,3,2,7,6,1,0,1,1,0,10,8,6,1.5,3.5,6,5.33333333333333,5
1,63,0,8,0,10,6,6,4,1,0,1,3,0,10,10,5,1.5,4,8.5,3.33333333333333,8
1,66,1,8,0,2,5,8,4,0,0,1,4,1,9.5,9,5.5,2,6.5,8,9,8.66666666666667
1,53,1,9,0,3,6,9,5,1,1,0,0,0,9.25,8,3,2,7,8.5,6.66666666666667,5.33333333333333
1,78,0,8,1,2,6,8,6,1,1,1,2,0,10,5,6,2,8,5.5,8.66666666666667,7
1,59,1,8,0,3,7,9,4,1,1,1,2,0,10,9,2,1,7,6,6,6
1,83,1,8,0,2,5,8,6,0,0,0,7,1,7.75,8,9,1,8,8,8.66666666666667,1.66666666666667
0,29,1,6,0,4,2,6,5,0,1,1,10,1,10,0,1,2.5,4.5,6.5,5,5.33333333333333
0,58,1,6,0,0,3,4,6,0,1,1,10,0,10,10,2.5,1,4,6,5.33333333333333,7.66666666666667
1,72,0,6,0,2,2,4,5,1,0,0,8,1,9,4.5,2.5,2.5,6.5,2.5,5.66666666666667,7
0,28,0,10,1,5,5,9,8,1,0,0,5,0,10,10,4,0,10,5,8,6
1,63,1,8,0,3,5,8,6,0,0,0,0,0,10,4,0,1,7,4.5,8,6
1,45,1,6,0,4,8,6,8,0,0,0,7,0,9.5,9,1.5,2.5,4,7,6.66666666666667,7
0,43,0,7,0,6,6,8,7,1,1,1,2,1,6.5,7,6,2,5.5,5.5,5.66666666666667,6
1,60,1,9,0,0,3,9,7,0,1,1,1,0,8.75,10,7.5,2,7,2,8.33333333333333,7.33333333333333
0,72,0,2,0,6,7,4,8,0,0,0,8,0,10,8,4,1,6.5,2.5,7,7.66666666666667
0,69,1,10,1,0,3,9,6,0,1,1,0,1,10,10,8,1,2.5,9,8.33333333333333,7.33333333333333
0,32,1,9,0,7,2,4,7,0,0,0,9,0,9.25,7,1.5,3,6.5,3,5.66666666666667,4.66666666666667
1,23,0,10,0,3,7,7,8,0,0,0,8,1,10,9,0.5,1,8,9,8.33333333333333,7
0,51,0,10,0,5,0,10,10,0,1,1,10,0,10,10,10,2,10,10,10,0
1,57,0,5,0,7,3,5,9,0,0,0,7,0,8.5,9,5.5,3,3,7,4.66666666666667,8.66666666666667
0,46,1,8,0,7,5,7,7,1,0,1,5,0,10,8,7,2,7,7,5.66666666666667,3.66666666666667
0,29,1,8,0,5,2,8,0,1,1,1,3,1,10,5,3.5,1,5.5,7,9.33333333333333,4
0,50,0,8,1,2,8,8,6,0,0,1,0,1,8.25,5,5,2,5.5,1,9,9.66666666666667
0,67,1,10,0,0,3,9,5,0,0,0,1,0,9.5,9.5,7.5,1.5,8.5,3.5,9,4.33333333333333
0,54,1,6,0,5,0,6,0,1,0,0,4,0,10,8.5,7.5,1.5,6.5,6,6.66666666666667,3.33333333333333
0,32,0,6,0,3,3,6,2,1,0,0,1,1,9.5,7,5,2,5,7,8,6
0,58,1,7,0,4,6,7,5,1,1,1,0,0,9.75,9,5,2,5.5,6.5,7.66666666666667,5.66666666666667
0,46,0,7,1,2,3,10,6,0,0,1,4,1,10,10,7,0.5,6.5,5,9.66666666666667,3.33333333333333
1,60,1,3,0,6,0,0,4,1,1,1,10,0,9.25,10,0.5,2,7,7.5,10,1.66666666666667
1,33,0,5,0,5,3,5,6,1,1,1,9,1,10,6,7,1,6,7,5.66666666666667,4
1,56,0,8,0,4,4,8,6,0,1,0,8,0,6.25,10,3,2,8,8,7.66666666666667,2.66666666666667
1,52,1,10,0,3,0,7,3,0,0,0,8,0,10,10,7,2,4.5,9,8.66666666666667,7
0,60,1,3,1,2,0,2,10,0,1,0,10,0,10,10,1,0.5,3.5,10,8,1.66666666666667
1,52,1,9,0,2,3,5,3,1,1,1,5,0,9.25,10,1.5,0.5,5,4.5,5.66666666666667,6.33333333333333
1,64,0,7,0,4,4,7,5,0,1,1,2,0,10,7.5,5,2,5,5.5,6.33333333333333,8.33333333333333
1,65,0,8,0,2,8,8,8,1,1,0,2,0,10,9,6,2.5,8,8,7.66666666666667,7.66666666666667
1,70,0,9,1,2,2,8,8,0,1,0,2,0,10,10,5.5,2,8,7,9,7
0,69,0,10,0,1,4,10,8,1,1,0,2,0,10,10,6.5,0,8,7.5,10,8
1,66,0,10,0,8,2,10,8,1,0,0,0,0,10,9,4,2,8.5,7.5,7.33333333333333,7.33333333333333
1,57,1,8,0,3,7,0,6,0,1,1,2,0,9,7,2,0.5,8,8.5,5,5
1,68,0,9,1,1,4,9,8,0,0,0,4,0,10,10,7,1,10,9,8.66666666666667,10
0,71,1,8,1,7,6,9,2,1,0,0,6,0,9.25,10,0,2.5,9.5,7,7,1.33333333333333
0,65,0,8,0,4,5,8,6,0,1,0,2,0,10,4,6.5,2,5.5,6.5,7.66666666666667,9
1,68,0,7,0,3,0,8,6,1,0,0,2,0,10,10,3.5,1.5,7,7,6,4.33333333333333
1,58,0,3,0,7,5,1,5,1,0,0,7,0,5.75,5.5,0,0.5,4,7,9.33333333333333,9.33333333333333
0,85,1,10,0,1,1,7,1,1,0,0,6,0,10,10,2,3,10,7,10,9
1,30,1,6,0,2,1,8,3,0,1,1,0,0,10,9,9.5,1,7,4,8.33333333333333,10
1,79,1,7,0,4,2,8,6,1,1,1,3,0,10,8,6,1,8,4,7.66666666666667,6.66666666666667
0,69,0,1,0,3,4,1,7,0,0,0,7,0,7.5,10,1,1,4.5,2.5,8.66666666666667,4.33333333333333
0,83,1,7,1,2,3,6,5,1,1,1,8,0,10,10,3,2,7,7.5,8.33333333333333,2
1,67,1,7,0,3,3,10,6,1,1,1,10,0,10,5.5,4.5,0,7,6.5,9,3.33333333333333
0,57,1,10,0,0,3,10,6,1,0,1,7,0,10,10,9,1,8.5,9.5,9.66666666666667,6
0,47,1,6,0,2,2,5,6,0,1,1,4,1,7.5,7.5,1,2.5,5,7,5.66666666666667,7
1,35,1,8,0,3,2,8,5,0,0,0,5,1,10,10,4.5,2,4,5.5,5.33333333333333,6.66666666666667
0,83,1,6,0,5,5,5,6,1,0,1,7,0,9.5,5,5,1.5,7,7.5,9,4.66666666666667
1,27,1,8,0,7,3,7,6,1,1,1,1,0,10,8.5,7.5,2,6,7.5,6.33333333333333,2.66666666666667
0,34,0,10,0,2,10,9,7,1,1,0,0,0,9.25,9.5,8,1.5,9,0.5,9.33333333333333,9.66666666666667
0,41,1,6,1,2,3,7,7,1,1,0,5,0,10,5.5,8,1,4.5,7.5,4.66666666666667,5
0,63,1,9,0,2,1,9,4,0,0,0,5,0,10,9,7,1,8,4,5,3.66666666666667
1,51,1,6,1,4,3,6,4,0,1,1,6,0,7,6,1,1,5.5,4.5,5.66666666666667,4.66666666666667
0,55,0,7,0,1,3,7,5,0,1,1,1,1,10,8,6,2.5,7,8.5,7,6
1,33,0,6,0,1,8,5,5,1,1,1,5,0,8.5,7,9.5,2.5,4,4,6.66666666666667,4.33333333333333
0,51,1,9,1,1,1,10,0,0,1,1,5,0,10,10,5,0.5,10,8.5,5,5
1,61,1,7,0,1,8,7,7,0,1,1,1,0,7,9,4.5,1.5,7.5,5,7.66666666666667,3.66666666666667
1,45,1,6,1,0,0,4,5,0,1,1,10,0,10,9.5,0,0.5,5,2,4.33333333333333,4
1,50,0,3,1,2,7,2,7,1,1,1,8,0,9.75,8,0,4,7,4,7.66666666666667,5.66666666666667
0,45,0,7,1,2,4,8,6,1,1,1,2,0,9.5,10,4.5,2,2.5,7.5,8.66666666666667,8.66666666666667
1,56,0,5,0,5,4,5,5,1,1,1,8,1,6.5,5.5,7,1,5,5.5,6,3.66666666666667
0,20,0,10,0,2,3,10,8,0,0,0,3,1,8.75,10,6.5,1.5,7.5,8.5,8.33333333333333,6.33333333333333
1,66,0,8,1,3,2,7,7,0,1,0,8,0,9.75,9,4,2.5,7.5,7.5,9.33333333333333,3
1,35,0,9,0,3,3,8,8,0,0,0,9,0,9.75,8.5,4.5,3,7,8.5,6.33333333333333,4
0,32,0,10,1,2,2,10,8,0,0,0,7,0,6.75,9,7.5,2,3,8.5,6.33333333333333,9
0,75,0,8,0,3,3,5,7,0,1,0,0,0,10,0.5,1.5,0,5,5.5,10,4.33333333333333
1,40,0,8,0,4,4,8,6,1,1,1,7,1,9.25,7,6.5,2,5,6,5.66666666666667,4.66666666666667
1,51,0,7,0,3,3,7,7,0,0,0,1,0,8.5,10,6.5,1,5.5,6.5,10,9
1,52,0,8,1,3,8,8,9,0,1,0,0,0,10,10,7,2,9,7.5,7.33333333333333,8.66666666666667
1,22,1,7,0,8,2,6,6,0,1,1,1,0,9,8.5,3,0.5,5.5,5.5,7.33333333333333,2.33333333333333
1,59,1,9,0,3,7,9,8,0,0,0,1,0,10,0,5.5,1,9.5,5.5,7.33333333333333,10
1,69,1,8,0,4,5,9,5,0,0,0,1,0,10,10,2.5,2,9,7.5,9.33333333333333,5.66666666666667
1,45,0,8,1,2,0,8,8,0,1,0,9,1,10,7.5,6,2,5,9.5,8.66666666666667,4.33333333333333
1,27,0,10,0,1,5,8,7,0,1,1,3,0,8.75,10,5,2.5,10,8,9.33333333333333,8
0,56,1,8,0,2,0,5,8,1,1,0,10,0,10,10,3.5,1.5,5,9.5,9.66666666666667,4.66666666666667
1,52,1,7,0,3,4,7,5,0,0,0,3,0,8.25,8,3,2.5,6,8,7,5.66666666666667
0,23,0,8,0,2,9,8,8,0,1,1,4,0,7.25,8.5,8,2.5,5.5,5,7,10
1,77,1,8,0,5,7,7,6,1,1,0,3,0,9.25,10,6,2,7,5.5,8.66666666666667,6.66666666666667
1,47,0,8,0,8,3,8,6,1,1,0,2,0,9.5,9,6,2,6,8,7,5.33333333333333
1,29,1,0,0,9,2,0,7,0,1,0,0,1,9.75,2.5,4,3,2.5,3,6,6
0,22,1,9,1,1,6,9,8,1,1,0,0,0,8.5,9.5,8,1.5,4,7,8.66666666666667,8.66666666666667
0,51,1,6,0,8,2,5,5,1,1,1,10,0,10,10,9,2,10,5,7.66666666666667,2.66666666666667
1,27,0,8,0,7,10,6,5,1,0,1,5,0,8.5,10,0,1.5,7,6.5,8.66666666666667,2.66666666666667
0,67,0,9,1,1,4,10,3,1,1,1,8,1,10,1,7,2,9,9.5,8.33333333333333,5.66666666666667
1,28,0,7,1,3,0,7,5,0,0,1,5,1,6.5,10,4,0.5,6.5,4.5,8,8.33333333333333
0,68,0,7,1,6,2,7,7,0,1,1,2,0,10,8,6,1,8.5,9,7.33333333333333,5.66666666666667
0,22,1,7,0,3,1,9,3,0,0,1,2,1,4.75,8,6.5,1.5,8.5,4,7,7
0,24,0,10,0,10,2,10,7,0,1,1,0,0,10,7.5,7,1,5,6.5,8.66666666666667,10
1,67,0,9,0,2,2,7,8,0,1,0,6,0,7.5,10,7,2,10,5.5,7.33333333333333,2.66666666666667
1,62,1,10,0,5,5,9,5,0,0,0,4,0,10,5.5,6,1,5,6,8.33333333333333,10
0,20,0,7,0,5,4,7,8,0,1,1,1,0,8.75,6,8.5,1.5,0,5.5,8,5.66666666666667
1,46,0,3,0,6,0,3,3,0,0,0,9,0,10,4,0,1.5,2.5,2.5,1,5
0,47,0,8,0,0,0,10,4,1,0,1,0,0,10,6,3.5,1,7,9,8.66666666666667,10
0,59,1,0,1,6,0,1,0,1,1,1,5,1,10,10,2,3,3,0.5,3,7
1,32,0,0,1,0,0,0,7,0,1,0,10,0,10,7,1,2,3,6.5,4.33333333333333,2
0,48,0,5,0,7,10,6,7,0,1,0,10,0,10,10,3,2,8.5,7.5,9.66666666666667,9.66666666666667
1,29,0,7,0,3,6,8,4,0,1,1,4,0,9.5,10,8,1.5,3.5,7,8,10
0,52,1,0,0,2,0,0,4,1,1,0,10,1,7.5,1,0,0,1.5,0.5,5,3.66666666666667
1,23,0,5,0,4,4,5,7,0,1,0,4,0,8.25,5,7,2.5,3,3.5,9,10
1,60,1,7,0,0,5,7,7,0,0,0,2,0,10,10,6,3,9,6,8,4
0,43,1,8,0,3,3,6,5,0,1,1,8,0,10,8,3.5,1,5,8.5,10,1.33333333333333
0,41,1,2,0,5,8,4,3,1,1,1,3,1,9.25,4,1,2,2,3.5,3,7
1,36,1,5,1,6,2,5,5,1,0,1,3,1,2.75,6,5.5,1.5,3,5.5,4.66666666666667,6
